yearID,teamID,W,L,R,RA,H,HR,BB,SO,Win
1901,BOS,79,57,759,608,1353,37,331,282.0,1
1901,CHA,83,53,819,631,1303,32,475,337.0,1
1901,CLE,54,82,667,831,1311,12,243,326.0,0
1901,DET,74,61,741,694,1303,29,380,346.0,1
1901,MLA,48,89,641,828,1250,26,325,384.0,0
1901,PHA,74,62,805,761,1409,35,301,344.0,1
1901,WS1,61,72,682,771,1282,33,356,340.0,0
1901,BRO,79,57,744,600,1399,32,312,449.0,1
1901,BSN,69,69,531,556,1180,28,303,519.0,0
1901,CHN,53,86,578,699,1250,18,314,532.0,0
1901,CIN,52,87,561,818,1232,38,323,584.0,0
1901,NY1,52,85,544,755,1225,19,303,575.0,0
1901,PHI,83,57,668,543,1275,24,430,549.0,1
1901,PIT,90,49,776,534,1407,29,386,493.0,1
1901,SLN,76,64,792,689,1430,39,314,540.0,1
1902,BLA,50,88,715,848,1318,33,417,429.0,0
1902,BOS,77,60,664,600,1356,42,275,375.0,1
1902,CHA,74,60,675,602,1248,14,411,381.0,1
1902,CLE,69,67,686,667,1401,33,308,356.0,1
1902,DET,52,83,566,657,1167,22,359,287.0,0
1902,PHA,83,53,775,636,1369,38,343,293.0,1
1902,SLA,78,58,619,607,1254,29,373,327.0,1
1902,WS1,61,75,707,790,1338,47,329,296.0,0
1902,BRO,75,63,564,519,1242,19,319,489.0,1
1902,BSN,73,64,572,516,1178,14,398,481.0,1
1902,CHN,68,69,530,501,1200,6,353,565.0,0
1902,CIN,70,70,633,566,1383,18,297,465.0,0
1902,NY1,48,88,401,590,1088,8,252,530.0,0
1902,PHI,56,81,484,649,1139,5,356,481.0,0
1902,PIT,103,36,775,440,1410,18,372,446.0,1
1902,SLN,56,78,517,695,1226,10,273,438.0,0
1903,BOS,91,47,708,504,1336,48,262,561.0,1
1903,CHA,60,77,516,613,1152,14,325,537.0,0
1903,CLE,77,63,639,579,1265,31,259,595.0,1
1903,DET,65,71,567,539,1229,12,292,526.0,0
1903,NYA,72,62,579,573,1136,18,332,465.0,1
1903,PHA,75,60,597,519,1236,32,268,513.0,1
1903,SLA,65,74,500,525,1133,12,271,539.0,0
1903,WS1,43,94,437,691,1066,17,257,463.0,0
1904,BOS,95,59,608,466,1294,26,347,570.0,1
1904,CHA,89,65,600,482,1217,14,373,586.0,1
1904,CLE,86,65,647,482,1340,27,307,714.0,1
1904,DET,62,90,505,627,1231,11,344,635.0,0
1904,NYA,92,59,598,526,1354,27,312,548.0,1
1904,PHA,81,70,557,503,1266,31,313,605.0,1
1904,SLA,65,87,481,604,1266,10,332,609.0,0
1904,WS1,38,113,437,743,1170,10,283,759.0,0
1910,BRO,64,90,497,623,1174,25,434,706.0,0
1910,BSN,53,100,495,701,1260,31,359,540.0,0
1910,CHN,104,50,712,499,1333,34,542,501.0,1
1910,CIN,75,79,620,684,1326,23,529,515.0,0
1910,NY1,91,63,715,567,1391,31,562,489.0,1
1910,PHI,78,75,674,639,1319,22,506,559.0,1
1910,PIT,86,67,655,576,1364,33,437,524.0,1
1910,SLN,63,90,639,718,1217,15,655,581.0,0
1911,BRO,64,86,539,659,1198,28,425,683.0,0
1911,BSN,44,107,699,1021,1417,37,554,577.0,0
1911,CHN,92,62,757,607,1335,54,585,617.0,1
1911,CIN,70,83,682,706,1379,21,578,594.0,0
1911,NY1,99,54,756,542,1399,41,530,506.0,1
1911,PHI,79,73,658,669,1307,60,490,588.0,1
1911,PIT,85,69,744,557,1345,49,525,583.0,1
1911,SLN,75,74,671,745,1295,26,592,650.0,1
1912,BRO,58,95,651,754,1377,32,490,584.0,0
1912,BSN,52,101,693,861,1465,35,454,690.0,0
1912,CHN,91,59,756,668,1398,43,560,615.0,1
1912,CIN,75,78,656,722,1310,21,479,492.0,0
1912,NY1,103,48,823,571,1451,47,514,497.0,1
1912,PHI,73,79,670,688,1354,43,464,615.0,0
1912,PIT,93,58,751,565,1493,39,420,514.0,1
1912,SLN,63,90,659,830,1366,27,508,620.0,0
1913,BOS,79,71,631,610,1334,17,466,534.0,1
1913,CHA,78,74,488,498,1139,24,398,550.0,1
1913,CLE,86,66,633,536,1349,16,420,557.0,1
1913,DET,66,87,624,716,1344,24,496,501.0,0
1913,NYA,57,94,529,668,1157,8,534,617.0,0
1913,PHA,96,57,794,592,1412,33,534,547.0,1
1913,SLA,57,96,528,642,1193,18,455,769.0,0
1913,WS1,90,64,596,561,1281,19,440,595.0,1
1913,BRO,65,84,595,613,1394,39,361,555.0,0
1913,BSN,69,82,641,690,1318,32,488,640.0,0
1913,CHN,88,65,720,630,1289,59,554,634.0,1
1913,CIN,64,89,607,717,1339,27,458,579.0,0
1913,NY1,101,51,684,515,1427,30,444,501.0,1
1913,PHI,88,63,693,636,1433,73,383,578.0,1
1913,PIT,78,71,673,585,1383,35,391,545.0,1
1913,SLN,51,99,528,755,1229,15,451,573.0,0
1914,BOS,91,62,589,510,1278,18,490,549.0,1
1914,CHA,70,84,487,560,1205,19,408,609.0,0
1914,CLE,51,102,538,709,1262,10,450,685.0,0
1914,DET,80,73,615,618,1318,25,557,537.0,1
1914,NYA,70,84,537,550,1144,12,577,711.0,0
1914,PHA,99,53,749,529,1392,29,545,517.0,1
1914,SLA,71,82,523,615,1241,17,423,863.0,0
1914,WS1,81,73,572,519,1245,18,470,640.0,1
1914,BLF,84,70,645,628,1374,32,487,589.0,1
1914,BRF,77,77,662,677,1402,42,404,665.0,0
1914,BUF,80,71,620,602,1264,38,430,761.0,1
1914,CHF,87,67,621,517,1314,52,520,645.0,1
1914,IND,88,65,762,622,1474,33,470,641.0,1
1914,KCF,67,84,644,683,1369,39,399,621.0,0
1914,PTF,64,86,605,698,1339,34,410,575.0,0
1914,SLF,62,89,565,697,1254,26,503,662.0,0
1914,BRO,75,79,622,618,1386,31,376,559.0,0
1914,BSN,94,59,657,548,1307,35,502,617.0,1
1914,CHN,78,76,605,638,1229,42,501,577.0,1
1914,CIN,60,94,530,651,1178,16,441,627.0,0
1914,NY1,84,70,672,576,1363,30,447,479.0,1
1914,PHI,74,80,651,687,1345,62,472,570.0,0
1914,PIT,69,85,503,540,1197,18,416,608.0,0
1914,SLN,81,72,558,540,1249,33,445,618.0,1
1915,BOS,101,50,669,499,1308,14,527,476.0,1
1915,CHA,93,61,717,509,1269,25,583,575.0,1
1915,CLE,57,95,539,670,1210,20,490,681.0,0
1915,DET,100,54,778,597,1372,23,681,527.0,1
